X,Y,Z
17.980374249063736,54.64233782482903,20.278343307729568
X,Y,Z
26955.823283194706,-1508.3772460570374,-2034.3422789862677
X,Y,Z
27001.75716437663,-1513.3040243049597,-2036.809988580361
X,Y,Z
27048.11964472584,-1518.283487988196,-2039.3020366051444
X,Y,Z
27094.8664401333,-1523.3110592854914,-2041.815910200028
X,Y,Z
27143.397603588106,-1528.5377954385722,-2044.4268252934191
X,Y,Z
27193.4087538831,-1533.9316596070735,-2047.1183793712246
X,Y,Z
27242.601664883165,-1539.2449339644902,-2049.766780409252
X,Y,Z
27292.570509926452,-1544.6497917559748,-2052.457748672145
X,Y,Z
27341.665371738283,-1549.9677432633239,-2055.1023476144474
X,Y,Z
27389.75948695024,-1555.1846231024415,-2057.693644230526
X,Y,Z
27437.001051350664,-1560.3160837237588,-2060.239535979394
X,Y,Z
27484.708718953607,-1565.5052688678093,-2062.811037123907
X,Y,Z
27531.80295585069,-1570.634724688052,-2065.3499192400636
X,Y,Z
27577.441513809845,-1575.612258089766,-2067.8107164589496
X,Y,Z
27627.329494626505,-1581.060711042888,-2070.501057266078
X,Y,Z
27677.310648480165,-1586.5271520590477,-2073.1968350033376
X,Y,Z
27726.5997953908,-1591.9255676157156,-2075.8556666461577
X,Y,Z
27773.45437987081,-1597.0643845547681,-2078.3834987070873
X,Y,Z
27820.258543868567,-1602.204526051188,-2080.908917879478
X,Y,Z
27869.19551175382,-1607.5862242526964,-2083.549736538934
X,Y,Z
27913.5810268661,-1612.4738715035483,-2085.9452165981097
X,Y,Z
27964.058986157626,-1618.0398933981019,-2088.669815527275
X,Y,Z
28013.808475306545,-1623.5333795459308,-2091.3554110292757
X,Y,Z
28063.486004640636,-1629.026636277195,-2094.037430798687
X,Y,Z
28112.627256773296,-1634.4681789048393,-2096.6907935037007
X,Y,Z
28164.139830350145,-1640.1804020139434,-2099.472506683741
X,Y,Z
28213.01036307968,-1645.6073064802292,-2102.111840223531
X,Y,Z
28266.168741082136,-1651.5188208952252,-2104.983058632799
X,Y,Z
28320.069937419445,-1657.5219387523398,-2107.894726060757
X,Y,Z
28369.322296900256,-1663.0152195364105,-2110.555555789158
X,Y,Z
28419.916513216616,-1668.666032660322,-2113.289163377666
X,Y,Z
28464.817773814055,-1673.6876855484782,-2115.7154192236408
X,Y,Z
28514.464785180462,-1679.2473988913484,-2118.3983707420666
X,Y,Z
28562.44807840719,-1684.6280921064854,-2120.9916720806123
X,Y,Z
28611.88004958433,-1690.1787289567749,-2123.663531102056
X,Y,Z
28660.202339698553,-1695.6121078823867,-2126.2756657304267
X,Y,Z
28709.383316746862,-1701.1494941814276,-2128.9344760690615
X,Y,Z
28760.051399200267,-1706.862182205804,-2131.6739518934396
X,Y,Z
28808.533685205595,-1712.335895990742,-2134.2955767976973
X,Y,Z
28859.23174493182,-1718.0667364016263,-2137.0937460778673
X,Y,Z
28909.249827998014,-1723.7256181503928,-2140.0492161315346
X,Y,Z
28954.16214688133,-1728.8110631187294,-2142.865207715776
X,Y,Z
29001.76043000738,-1734.2052827957702,-2146.00048632695
X,Y,Z
