X,Y,Z
1.087803624955086e-09,-2.300819232914364e-06,-20.056209564208984
1.5935754049678508e-07,-0.00017549704352859408,-20.059255599975586
1.1363244993845e-06,-0.0008386558038182557,-20.064456939697266
4.3445465962577146e-06,-0.0023602352011948824,-20.069934844970703
1.1854736840177793e-05,-0.005057680886238813,-20.075166702270508
2.5887597075779922e-05,-0.0091018695384264,-20.07992935180664
4.9775877414504066e-05,-0.014835996553301811,-20.084360122680664
8.873693877831101e-05,-0.02279973030090332,-20.08856773376465
0.00014506532170344144,-0.03279472887516022,-20.092308044433594
0.0002248154196422547,-0.045277319848537445,-20.095705032348633
0.0003376461972948164,-0.0609990730881691,-20.09885025024414
0.0004836631123907864,-0.07927880436182022,-20.101566314697266
0.0006795465014874935,-0.10146892070770264,-20.104019165039062
0.0009221332147717476,-0.12649136781692505,-20.1060733795166
0.0012254711473360658,-0.1551622897386551,-20.10781478881836
0.0015993822598829865,-0.1876862645149231,-20.109249114990234
0.0020697975996881723,-0.22543399035930634,-20.11041259765625
0.002621128922328353,-0.2663809061050415,-20.111249923706055
0.0033004714641720057,-0.31320470571517944,-20.111818313598633
0.004082153085619211,-0.3633321225643158,-20.112089157104492
0.0049996390007436275,-0.41824325919151306,-20.112092971801758
0.006104364991188049,-0.4799966514110565,-20.11182975769043
0.007390137761831284,-0.547177255153656,-20.111303329467773
0.008831057697534561,-0.6177290081977844,-20.110546112060547
0.010536540299654007,-0.6960840225219727,-20.109519958496094
0.012429095804691315,-0.7777771949768066,-20.108295440673828
0.014579539187252522,-0.865165650844574,-20.106853485107422
0.017092052847146988,-0.9612962603569031,-20.105146408081055
0.0198470801115036,-1.0606414079666138,-20.103282928466797
0.023043135181069374,-1.169350028038025,-20.101154327392578
0.026524556800723076,-1.2811447381973267,-20.098894119262695
0.030538277700543404,-1.4029169082641602,-20.09637451171875
0.034885063767433167,-1.5276106595993042,-20.093748092651367
0.03971494361758232,-1.6588112115859985,-20.09095001220703
0.04523954167962074,-1.8008953332901,-20.087894439697266
0.05117827281355858,-1.9455969333648682,-20.084762573242188
0.05794011056423187,-2.1017799377441406,-20.081378936767578
0.06517723947763443,-2.2603402137756348,-20.077939987182617
0.07338336855173111,-2.4309709072113037,-20.074247360229492
0.08213198930025101,-2.603712558746338,-20.070520401000977
0.09171101450920105,-2.783548355102539,-20.06665802001953
0.10251304507255554,-2.976322889328003,-20.06253433227539
0.11396855115890503,-3.170762538909912,-20.058406829833984
0.12684376537799835,-3.3787107467651367,-20.05402946472168
0.14045412838459015,-3.5879921913146973,-20.04966163635254
0.15570396184921265,-3.8113443851470947,-20.0450439453125
0.17177653312683105,-4.035677909851074,-20.040454864501953
0.18918387591838837,-4.267491817474365,-20.035762786865234
0.20860549807548523,-4.514198303222656,-20.03081703186035
0.228990837931633,-4.761316776275635,-20.02592658996582
0.25167059898376465,-5.023838996887207,-20.020864486694336
0.27463269233703613,-5.27811861038208,-20.016565322875977
0.3007911145687103,-5.555675983428955,-20.012754440307617
0.3279537856578827,-5.832059860229492,-20.009796142578125
0.3578082025051117,-6.123721599578857,-20.007421493530273
0.38864025473594666,-6.413228988647461,-20.00569725036621
0.421344131231308,-6.708797931671143,-20.004472732543945
0.45704466104507446,-7.01939582824707,-20.00366973876953
0.49369117617607117,-7.326503753662109,-20.00327491760254
0.5335580110549927,-7.648481369018555,-20.00322151184082
0.5743539333343506,-7.966153144836426,-20.003467559814453
0.6172745227813721,-8.288686752319336,-20.003969192504883
0.6637775897979736,-8.625852584838867,-20.00472068786621
0.7111870646476746,-8.957598686218262,-20.005645751953125
0.7624393701553345,-9.30382251739502,-20.006772994995117
0.8145825266838074,-9.643942832946777,-20.008018493652344
0.8708432912826538,-9.998376846313477,-20.009429931640625
0.927977979183197,-10.346080780029297,-20.010908126831055
0.9876685738563538,-10.697239875793457,-20.01247215270996
1.0519107580184937,-11.062468528747559,-20.01416778564453
1.116992712020874,-11.4201021194458,-20.015871047973633
1.1869302988052368,-11.791634559631348,-20.01768684387207
1.2576779127120972,-12.155045509338379,-20.019487380981445
1.3335951566696167,-12.532185554504395,-20.0213680267334
1.4102848768234253,-12.900707244873047,-20.023193359375
1.4924653768539429,-13.282783508300781,-20.02513313293457
1.5753711462020874,-13.655778884887695,-20.027021408081055
1.6640959978103638,-14.042149543762207,-20.028963088989258
1.7562470436096191,-14.430464744567871,-20.03084373474121
1.8490310907363892,-14.80907154083252,-20.032669067382812
1.9481381177902222,-15.200767517089844,-20.034549713134766
2.0478010177612305,-15.582374572753906,-20.036375045776367
2.1509437561035156,-15.965255737304688,-20.03813934326172
2.2609124183654785,-16.360931396484375,-20.039955139160156
2.3712961673736572,-16.74599838256836,-20.041667938232422
2.4888436794281006,-17.143659591674805,-20.043418884277344
2.6066932678222656,-17.530397415161133,-20.045055389404297
2.7320408821105957,-17.929519653320312,-20.04671859741211
2.857563018798828,-18.317426681518555,-20.04829216003418
2.986933708190918,-18.705732345581055,-20.04981231689453
3.095674753189087,-19.023658752441406,-20.051034927368164
3.2363474369049072,-19.42418670654297,-20.052526473999023
3.376906633377075,-19.81302833557129,-20.053924560546875
3.525908946990967,-20.213613510131836,-20.05532455444336
3.6746222972869873,-20.602279663085938,-20.056644439697266
3.8273980617523193,-20.99070930480957,-20.057903289794922
3.9890806674957275,-21.390548706054688,-20.05915641784668
4.150182723999023,-21.778182983398438,-20.060331344604492
4.315422534942627,-22.165279388427734,-20.061464309692383
4.484816551208496,-22.55174446105957,-20.06254005432129
4.658370494842529,-22.93748664855957,-20.063579559326172
4.841553211212158,-23.334064483642578,-20.064611434936523
5.023599147796631,-23.718063354492188,-20.065555572509766
5.215546607971191,-24.11266326904297,-20.066490173339844
5.406106948852539,-24.49456024169922,-20.06736946105957
5.600863456726074,-24.875303268432617,-20.068187713623047
5.805905342102051,-25.26629066467285,-20.069005966186523
6.009167194366455,-25.644441604614258,-20.069761276245117
6.216606140136719,-26.02120590209961,-20.07047462463379
6.4346923828125,-26.407855987548828,-20.07118797302246
6.65057897567749,-26.78158187866211,-20.071842193603516
6.87733268737793,-27.164955139160156,-20.072490692138672
7.101596355438232,-27.535358428955078,-20.07308006286621
7.336938858032227,-27.91517448425293,-20.07366371154785
7.569493770599365,-28.281997680664062,-20.074201583862305
7.813327312469482,-28.65799903869629,-20.07472038269043
8.054067611694336,-29.020999908447266,-20.075223922729492
